device,videoName,luminanceReduction,bitrate,Power
BrandA-Model1,gameplay_4k_10s_luminance_60,0,600,34.54
BrandA-Model1,timescapes_4k_8s_luminance_100,0,600,41.8
BrandA-Model1,tos_4k_10s_luminance_120,0,600,54.839999999999996
BrandA-Model1,tos_4k_10s_luminance_80,0,600,35.4
BrandA-Model2,gameplay_4k_10s_luminance_60,0,600,38.04
BrandA-Model2,timescapes_4k_8s_luminance_100,0,600,45.06
BrandA-Model2,tos_4k_10s_luminance_120,0,600,58.6
BrandA-Model2,tos_4k_10s_luminance_80,0,600,39.38
BrandA-Model3,gameplay_4k_10s_luminance_60,0,600,52.739999999999995
BrandA-Model3,timescapes_4k_8s_luminance_100,0,600,66.78
BrandA-Model3,tos_4k_10s_luminance_120,0,600,107.67999999999999
BrandA-Model3,tos_4k_10s_luminance_80,0,600,54.620000000000005
BrandB-Model1,gameplay_4k_10s_luminance_60,0,600,66.88000000000001
BrandB-Model1,timescapes_4k_8s_luminance_100,0,600,86.58
BrandB-Model1,tos_4k_10s_luminance_120,0,600,103.88
BrandB-Model1,tos_4k_10s_luminance_80,0,600,68.26
BrandA-Model1,gameplay_4k_10s_luminance_60,0,2400,35.42
BrandA-Model1,timescapes_4k_8s_luminance_100,0,2400,41.019999999999996
BrandA-Model1,tos_4k_10s_luminance_120,0,2400,55.620000000000005
BrandA-Model1,tos_4k_10s_luminance_80,0,2400,35.54
BrandA-Model2,gameplay_4k_10s_luminance_60,0,2400,38.839999999999996
BrandA-Model2,timescapes_4k_8s_luminance_100,0,2400,45.3
BrandA-Model2,tos_4k_10s_luminance_120,0,2400,58.36
BrandA-Model2,tos_4k_10s_luminance_80,0,2400,39.739999999999995
BrandA-Model3,gameplay_4k_10s_luminance_60,0,2400,54.279999999999994
BrandA-Model3,timescapes_4k_8s_luminance_100,0,2400,68.88
BrandA-Model3,tos_4k_10s_luminance_120,0,2400,108.8
BrandA-Model3,tos_4k_10s_luminance_80,0,2400,55.6
BrandB-Model1,gameplay_4k_10s_luminance_60,0,2400,65.78
BrandB-Model1,timescapes_4k_8s_luminance_100,0,2400,87.0
BrandB-Model1,tos_4k_10s_luminance_120,0,2400,104.0
BrandB-Model1,tos_4k_10s_luminance_80,0,2400,70.72
BrandA-Model1,gameplay_4k_10s_luminance_60,0,4500,36.5
BrandA-Model1,timescapes_4k_8s_luminance_100,0,4500,42.22
BrandA-Model1,tos_4k_10s_luminance_120,0,4500,56.379999999999995
BrandA-Model1,tos_4k_10s_luminance_80,0,4500,35.6
BrandA-Model2,gameplay_4k_10s_luminance_60,0,4500,39.04
BrandA-Model2,timescapes_4k_8s_luminance_100,0,4500,46.72
BrandA-Model2,tos_4k_10s_luminance_120,0,4500,57.92
BrandA-Model2,tos_4k_10s_luminance_80,0,4500,40.0
BrandA-Model3,gameplay_4k_10s_luminance_60,0,4500,54.760000000000005
BrandA-Model3,timescapes_4k_8s_luminance_100,0,4500,68.08
BrandA-Model3,tos_4k_10s_luminance_120,0,4500,110.6
BrandA-Model3,tos_4k_10s_luminance_80,0,4500,55.260000000000005
BrandB-Model1,gameplay_4k_10s_luminance_60,0,4500,66.26
BrandB-Model1,timescapes_4k_8s_luminance_100,0,4500,86.96000000000001
BrandB-Model1,tos_4k_10s_luminance_120,0,4500,104.0
BrandB-Model1,tos_4k_10s_luminance_80,0,4500,70.66
BrandA-Model1,gameplay_4k_10s_luminance_60,0,11600,35.56
BrandA-Model1,timescapes_4k_8s_luminance_100,0,11600,42.93333333333334
BrandA-Model1,tos_4k_10s_luminance_120,0,11600,56.36
BrandA-Model1,tos_4k_10s_luminance_80,0,11600,35.5
BrandA-Model2,gameplay_4k_10s_luminance_60,0,11600,39.3
BrandA-Model2,timescapes_4k_8s_luminance_100,0,11600,46.56
BrandA-Model2,tos_4k_10s_luminance_120,0,11600,61.82000000000001
BrandA-Model2,tos_4k_10s_luminance_80,0,11600,40.225
BrandA-Model3,gameplay_4k_10s_luminance_60,0,11600,56.94
BrandA-Model3,timescapes_4k_8s_luminance_100,0,11600,67.375
BrandA-Model3,tos_4k_10s_luminance_120,0,11600,110.2
BrandA-Model3,tos_4k_10s_luminance_80,0,11600,56.375
BrandB-Model1,gameplay_4k_10s_luminance_60,0,11600,66.1
BrandB-Model1,timescapes_4k_8s_luminance_100,0,11600,86.66
BrandB-Model1,tos_4k_10s_luminance_120,0,11600,104.6
BrandB-Model1,tos_4k_10s_luminance_80,0,11600,70.14
BrandA-Model1,gameplay_4k_10s_luminance_60,1,600,34.5
BrandA-Model1,timescapes_4k_8s_luminance_100,1,600,41.42
BrandA-Model1,tos_4k_10s_luminance_120,1,600,53.36
BrandA-Model1,tos_4k_10s_luminance_80,1,600,34.9
BrandA-Model2,gameplay_4k_10s_luminance_60,1,600,38.019999999999996
BrandA-Model2,timescapes_4k_8s_luminance_100,1,600,44.32
BrandA-Model2,tos_4k_10s_luminance_120,1,600,57.67999999999999
BrandA-Model2,tos_4k_10s_luminance_80,1,600,39.239999999999995
BrandA-Model3,gameplay_4k_10s_luminance_60,1,600,53.339999999999996
BrandA-Model3,timescapes_4k_8s_luminance_100,1,600,64.44000000000001
BrandA-Model3,tos_4k_10s_luminance_120,1,600,107.6
BrandA-Model3,tos_4k_10s_luminance_80,1,600,54.379999999999995
BrandB-Model1,gameplay_4k_10s_luminance_60,1,600,65.3
BrandB-Model1,timescapes_4k_8s_luminance_100,1,600,84.0
BrandB-Model1,tos_4k_10s_luminance_120,1,600,104.6
BrandB-Model1,tos_4k_10s_luminance_80,1,600,68.96
BrandA-Model1,gameplay_4k_10s_luminance_60,1,2400,35.14
BrandA-Model1,timescapes_4k_8s_luminance_100,1,2400,41.3
